district,voter_21,Rvoter_21,Dvoter_21,d_type,voter_22,Rvoter_22,Dvoter_22,oth21,oth22,v_up_down,d_up_down,r_up_down,oth_up_down,dvr21,dvr22,part_control21,part_control22,party_switch
STH051,37572.0,17286.0,16415.0,State House,40275.0,16976.0,19065.0,3871.0,4234.0,-2703.0,-2650.0,310.0,-363.0,-871.0,2089.0,GOP,Dem,True
STH052,38073.0,17968.0,16333.0,State House,38663.0,18050.0,16869.0,3772.0,3744.0,-590.0,-536.0,-82.0,28.0,-1635.0,-1181.0,GOP,GOP,False
STH053,43207.0,17549.0,18366.0,State House,41550.0,15285.0,18988.0,7292.0,7277.0,1657.0,-622.0,2264.0,15.0,817.0,3703.0,Dem,Dem,False
STH054,44611.0,21662.0,17200.0,State House,35862.0,8965.0,21219.0,5749.0,5678.0,8749.0,-4019.0,12697.0,71.0,-4462.0,12254.0,GOP,Dem,True
STH055,38206.0,18316.0,15003.0,State House,46811.0,22491.0,18288.0,4887.0,6032.0,-8605.0,-3285.0,-4175.0,-1145.0,-3313.0,-4203.0,GOP,GOP,False
STH056,45455.0,22581.0,17486.0,State House,46245.0,22725.0,17825.0,5388.0,5695.0,-790.0,-339.0,-144.0,-307.0,-5095.0,-4900.0,GOP,GOP,False
STH057,42680.0,20164.0,17234.0,State House,46103.0,22029.0,18186.0,5282.0,5888.0,-3423.0,-952.0,-1865.0,-606.0,-2930.0,-3843.0,GOP,GOP,False
STH058,40540.0,17553.0,18396.0,State House,43528.0,20321.0,18388.0,4591.0,4819.0,-2988.0,8.0,-2768.0,-228.0,843.0,-1933.0,Dem,GOP,True
STH059,43543.0,24026.0,14609.0,State House,46134.0,24282.0,16307.0,4908.0,5545.0,-2591.0,-1698.0,-256.0,-637.0,-9417.0,-7975.0,GOP,GOP,False
STH060,40512.0,23470.0,12366.0,State House,42324.0,21882.0,15204.0,4676.0,5238.0,-1812.0,-2838.0,1588.0,-562.0,-11104.0,-6678.0,GOP,GOP,False
STH061,48425.0,18462.0,22208.0,State House,47733.0,18391.0,21833.0,7755.0,7509.0,692.0,375.0,71.0,246.0,3746.0,3442.0,Dem,Dem,False
STH062,35816.0,18017.0,13087.0,State House,39022.0,20127.0,13784.0,4712.0,5111.0,-3206.0,-697.0,-2110.0,-399.0,-4930.0,-6343.0,GOP,GOP,False
STH063,35121.0,21998.0,9295.0,State House,40853.0,25887.0,10387.0,3828.0,4579.0,-5732.0,-1092.0,-3889.0,-751.0,-12703.0,-15500.0,GOP,GOP,False
STH064,36027.0,21198.0,10203.0,State House,38757.0,22861.0,10816.0,4626.0,5080.0,-2730.0,-613.0,-1663.0,-454.0,-10995.0,-12045.0,GOP,GOP,False
STH065,37666.0,21412.0,10985.0,State House,39968.0,22983.0,11397.0,5269.0,5588.0,-2302.0,-412.0,-1571.0,-319.0,-10427.0,-11586.0,GOP,GOP,False
STH066,37922.0,24762.0,9057.0,State House,37631.0,24877.0,8707.0,4103.0,4047.0,291.0,350.0,-115.0,56.0,-15705.0,-16170.0,GOP,GOP,False
